MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://www.diablotools.com/products/DCB518ASTS06G,https://www.diablotools.com/products/DCB518ASTS06G,https://www.diablotools.com/documents/Diablo_DCB518ASTS06G_Specification_Sheet.pdf,https://www.diablotools.com/manuals/Diablo_DCB518ASTS06G_Installation_Manual.pdf,,,,,,,,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,,Freud Inc (2435),"Freud America, Inc.",Diablo®,Diablo,DCB518ASTS06G,,Tools & Hardware > Abrasives > Sanding Belts & Sheets,"Freud America, Inc., Diablo®, Sanding Belt, DCB518ASTS06G, 1/2 inx18 in",SANDING BELT 1/2INX18IN,Diablo® DCB518ASTS06G Sanding Belt 1/2 inx18 in,"Diablo® Sanding Belt, 6 pcs, 1/2 inx18 in, Part Number: DCB518ASTS06G",Diablo® DCB518ASTS06G Sanding Belt 1/2 inx18 in,"High performance Diablo® Sanding Belt engineered for industrial, commercial, and professional applications.",Engineered by Diablo® for high durability and performance.,Compatible with standard Sanding Belt operations.,Manufacturer Part Number: DCB518ASTS06G,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Package Quantity,6,pcs,Dimensions,1/2 inx18 in,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Diablo_DCB518ASTS06G.jpg,,,,,,,,,Diablo_DCB518ASTS06G_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/products/3MABR-7100075678,https://www.3m.com/products/3MABR-7100075678,https://www.3m.com/documents/3m_3MABR-7100075678_Specification_Sheet.pdf,https://www.3m.com/manuals/3m_3MABR-7100075678_Installation_Manual.pdf,,,,,,,,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M,3MABR-7100075678,,Tools & Hardware > Abrasives > Sanding Discs & Sheets,3M Company 3M™ Abrasive Disc Model 3MABR-7100075678,ABRASIVE DISC P150,3M™ 3MABR-7100075678 Abrasive Disc P150,"3M™ Abrasive Disc, P150 Grit, 50 pcs, Part Number: 3MABR-7100075678",3M™ 3MABR-7100075678 Abrasive Disc P150,"High performance 3M™ Abrasive Disc engineered for industrial, commercial, and professional applications.",Engineered by 3M™ for high durability and performance.,Compatible with standard Abrasive Disc operations.,Manufacturer Part Number: 3MABR-7100075678,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Grit,P150,Grit,Package Quantity,50,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3M_3MABR-7100075678.jpg,,,,,,,,,3M_3MABR-7100075678_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/products/3MABR-7100045865,https://www.3m.com/products/3MABR-7100045865,https://www.3m.com/documents/3m_3MABR-7100045865_Specification_Sheet.pdf,https://www.3m.com/manuals/3m_3MABR-7100045865_Installation_Manual.pdf,,,,,,,,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M,3MABR-7100045865,,Tools & Hardware > Abrasives > Sanding Discs & Sheets,3M Company 3M™ Abrasive Disc Model 3MABR-7100045865,ABRASIVE DISC P120,3M™ 3MABR-7100045865 Abrasive Disc P120,"3M™ Abrasive Disc, P120 Grit, 50 pcs, Part Number: 3MABR-7100045865",3M™ 3MABR-7100045865 Abrasive Disc P120,"High performance 3M™ Abrasive Disc engineered for industrial, commercial, and professional applications.",Engineered by 3M™ for high durability and performance.,Compatible with standard Abrasive Disc operations.,Manufacturer Part Number: 3MABR-7100045865,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Grit,P120,Grit,Package Quantity,50,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3M_3MABR-7100045865.jpg,,,,,,,,,3M_3MABR-7100045865_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/products/3MABR-7100048736,https://www.3m.com/products/3MABR-7100048736,https://www.3m.com/documents/3m_3MABR-7100048736_Specification_Sheet.pdf,https://www.3m.com/manuals/3m_3MABR-7100048736_Installation_Manual.pdf,,,,,,,,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M,3MABR-7100048736,,Tools & Hardware > Abrasives > Sanding Discs & Sheets,3M Company 3M™ Abrasive Disc Model 3MABR-7100048736,ABRASIVE DISC P80,3M™ 3MABR-7100048736 Abrasive Disc P80,"3M™ Abrasive Disc, P80 Grit, 50 pcs, Part Number: 3MABR-7100048736",3M™ 3MABR-7100048736 Abrasive Disc P80,"High performance 3M™ Abrasive Disc engineered for industrial, commercial, and professional applications.",Engineered by 3M™ for high durability and performance.,Compatible with standard Abrasive Disc operations.,Manufacturer Part Number: 3MABR-7100048736,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Grit,P80,Grit,Package Quantity,50,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3M_3MABR-7100048736.jpg,,,,,,,,,3M_3MABR-7100048736_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/products/3MABR-7100075690,https://www.3m.com/products/3MABR-7100075690,https://www.3m.com/documents/3m_3MABR-7100075690_Specification_Sheet.pdf,https://www.3m.com/manuals/3m_3MABR-7100075690_Installation_Manual.pdf,,,,,,,,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M,3MABR-7100075690,,Tools & Hardware > Abrasives > Sanding Discs & Sheets,3M Company 3M™ Abrasive Disc Model 3MABR-7100075690,ABRASIVE DISC P180,3M™ 3MABR-7100075690 Abrasive Disc P180,"3M™ Abrasive Disc, P180 Grit, 50 pcs, Part Number: 3MABR-7100075690",3M™ 3MABR-7100075690 Abrasive Disc P180,"High performance 3M™ Abrasive Disc engineered for industrial, commercial, and professional applications.",Engineered by 3M™ for high durability and performance.,Compatible with standard Abrasive Disc operations.,Manufacturer Part Number: 3MABR-7100075690,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Grit,P180,Grit,Package Quantity,50,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3M_3MABR-7100075690.jpg,,,,,,,,,3M_3MABR-7100075690_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/products/3MABR-7100075692,https://www.3m.com/products/3MABR-7100075692,https://www.3m.com/documents/3m_3MABR-7100075692_Specification_Sheet.pdf,https://www.3m.com/manuals/3m_3MABR-7100075692_Installation_Manual.pdf,,,,,,,,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M,3MABR-7100075692,,Tools & Hardware > Abrasives > Sanding Discs & Sheets,3M Company 3M™ Abrasive Disc Model 3MABR-7100075692,ABRASIVE DISC P220,3M™ 3MABR-7100075692 Abrasive Disc P220,"3M™ Abrasive Disc, P220 Grit, 50 pcs, Part Number: 3MABR-7100075692",3M™ 3MABR-7100075692 Abrasive Disc P220,"High performance 3M™ Abrasive Disc engineered for industrial, commercial, and professional applications.",Engineered by 3M™ for high durability and performance.,Compatible with standard Abrasive Disc operations.,Manufacturer Part Number: 3MABR-7100075692,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Grit,P220,Grit,Package Quantity,50,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3M_3MABR-7100075692.jpg,,,,,,,,,3M_3MABR-7100075692_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.3m.com/products/3MABR-7100145365,https://www.3m.com/products/3MABR-7100145365,https://www.3m.com/documents/3m_3MABR-7100145365_Specification_Sheet.pdf,https://www.3m.com/manuals/3m_3MABR-7100145365_Installation_Manual.pdf,,,,,,,,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,3M,3MABR-7100145365,,Tools & Hardware > Abrasives > Sanding Discs & Sheets,3M Company 3M™ Abrasive Disc Model 3MABR-7100145365,ABRASIVE DISC P320,3M™ 3MABR-7100145365 Abrasive Disc P320,"3M™ Abrasive Disc, P320 Grit, 50 pcs, Part Number: 3MABR-7100145365",3M™ 3MABR-7100145365 Abrasive Disc P320,"High performance 3M™ Abrasive Disc engineered for industrial, commercial, and professional applications.",Engineered by 3M™ for high durability and performance.,Compatible with standard Abrasive Disc operations.,Manufacturer Part Number: 3MABR-7100145365,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Grit,P320,Grit,Package Quantity,50,pcs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3M_3MABR-7100145365.jpg,,,,,,,,,3M_3MABR-7100145365_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.mirka.com/products/5B-332-080,https://www.mirka.com/products/5B-332-080,https://www.mirka.com/documents/Mirka_5B-332-080_Specification_Sheet.pdf,https://www.mirka.com/manuals/Mirka_5B-332-080_Installation_Manual.pdf,,,,,,,,5B-332-080,"5B-332-080 HIOLIT 5"" P80",,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc.,Mirka®,Mirka,5B-332-080,,Tools & Hardware > Abrasives > Sanding Discs & Sheets,"Mirka Abrasives Inc., Mirka®, Abrasive Disc, 5B-332-080, P80",ABRASIVE DISC P80,Mirka® 5B-332-080 Abrasive Disc P80,"Mirka® Abrasive Disc, P80 Grit, Part Number: 5B-332-080",Mirka® 5B-332-080 Abrasive Disc P80,"High performance Mirka® Abrasive Disc engineered for industrial, commercial, and professional applications.",Engineered by Mirka® for high durability and performance.,Compatible with standard Abrasive Disc operations.,Manufacturer Part Number: 5B-332-080,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Grit,P80,Grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Mirka_5B-332-080.jpg,,,,,,,,,Mirka_5B-332-080_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.mirka.com/products/5B-332-120,https://www.mirka.com/products/5B-332-120,https://www.mirka.com/documents/Mirka_5B-332-120_Specification_Sheet.pdf,https://www.mirka.com/manuals/Mirka_5B-332-120_Installation_Manual.pdf,,,,,,,,5B-332-120,"5B-332-120 HIOLIT 5"" P120",,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc.,Mirka®,Mirka,5B-332-120,,Tools & Hardware > Abrasives > Sanding Discs & Sheets,"Mirka Abrasives Inc., Mirka®, Abrasive Disc, 5B-332-120, P120",ABRASIVE DISC P120,Mirka® 5B-332-120 Abrasive Disc P120,"Mirka® Abrasive Disc, P120 Grit, Part Number: 5B-332-120",Mirka® 5B-332-120 Abrasive Disc P120,"High performance Mirka® Abrasive Disc engineered for industrial, commercial, and professional applications.",Engineered by Mirka® for high durability and performance.,Compatible with standard Abrasive Disc operations.,Manufacturer Part Number: 5B-332-120,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Grit,P120,Grit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Mirka_5B-332-120.jpg,,,,,,,,,Mirka_5B-332-120_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
https://www.mirka.com/products/9A-570-240,https://www.mirka.com/products/9A-570-240,https://www.mirka.com/documents/Mirka_9A-570-240_Specification_Sheet.pdf,https://www.mirka.com/manuals/Mirka_9A-570-240_Installation_Manual.pdf,,,,,,,,9A-570-240,9A-570-240 Abranet 2.75x30,,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc.,Mirka®,Mirka,9A-570-240,,Tools & Hardware > Abrasives > Sanding Discs & Sheets,"Mirka Abrasives Inc., Mirka®, Abrasive Disc, 9A-570-240, 2.75x30",ABRASIVE DISC 2.75X30,Mirka® 9A-570-240 Abrasive Disc 2.75x30,"Mirka® Abrasive Disc, 9 A, 2.75x30 in, Part Number: 9A-570-240",Mirka® 9A-570-240 Abrasive Disc 2.75x30,"High performance Mirka® Abrasive Disc engineered for industrial, commercial, and professional applications.",Engineered by Mirka® for high durability and performance.,Compatible with standard Abrasive Disc operations.,Manufacturer Part Number: 9A-570-240,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Amperage Rating,9,A,Dimensions,2.75x30,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,Mirka_9A-570-240.jpg,,,,,,,,,Mirka_9A-570-240_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,No,Yes
